id,annotation
CAE1315960.1,unnamed protein product
WP_226542124.1,SafA/ExsA family spore coat assembly protein
MXZ83663.1,hypothetical protein
KAG6754879.1,hypothetical protein POTOM_040680
KAG2627441.1,hypothetical protein PVAP13_3KG126133
WP_135130047.1,phage tail tape measure protein
CAD6185982.1,unnamed protein product
XP_003885311.1,putative dynactin p25
CAH1243730.1,DNAJC14
DAZ21581.1,TPA: MAG TPA: tail tape measure protein
CAB4170047.1,hypothetical protein UFOVP901_31
CAB4170047.1,hypothetical protein UFOVP901_31
CAF9938161.1,hypothetical protein IMSHALPRED_000688
RFM23919.1,hypothetical protein D0433_08310
ROT84679.1,Sialidase
ROT84679.1,Sialidase
MBT7589889.1,hypothetical protein
TRZ09799.1,hypothetical protein HGM15179_017304
MBE6508260.1,hypothetical protein
MBX3131377.1,hypothetical protein
OUU26214.1,hypothetical protein CBB97_08375
XP_028869150.1,uncharacterized protein BOVATA_044000
XP_028869150.1,uncharacterized protein BOVATA_044000
WP_027400332.1,hypothetical protein
WP_160006710.1,hypothetical protein
WP_071514880.1,hypothetical protein
XP_005830682.1,hypothetical protein GUITHDRAFT_140167
HID99212.1,hypothetical protein
PNT66272.1,hypothetical protein BRADI_3g09480v3
PNT66272.1,hypothetical protein BRADI_3g09480v3
WP_146159392.1,hypothetical protein
DAX42584.1,TPA: MAG TPA: Tail tape measure
MBI2740856.1,DUF1640 domain-containing protein
CAE1312600.1,unnamed protein product
XP_014169271.1,GTP-binding protein
MBC8139826.1,YtxH domain-containing protein
CAE1257985.1,unnamed protein product
XP_024107713.1,putative ankyrin repeat domain-containing protein 19
TCD69608.1,hypothetical protein EIP91_007031
XP_044264089.1,glycine-rich cell wall structural protein-like
WP_165317256.1,hypothetical protein
XP_046374851.1,uncharacterized protein LOC124147996 isoform X4
CAE1234710.1,unnamed protein product
XP_022332473.1,muscle M-line assembly protein unc-89-like
CAG2214351.1,unnamed protein product
RDB27261.1,hypothetical protein Hypma_004358
UCF42831.1,MAG: CBS domain-containing protein
UCF42831.1,MAG: CBS domain-containing protein
MBO8442489.1,hypothetical protein
GFT34847.1,hypothetical protein NPIL_494271
KAF2089702.1,hypothetical protein K490DRAFT_55281
RCN37691.1,hypothetical protein ANCCAN_16393
MBR4542251.1,hypothetical protein
MBR5838135.1,hypothetical protein
CAD5209779.1,unnamed protein product
XP_041065835.1,collagen alpha-1(I) chain-like isoform X1
XP_029704288.1,pollen-specific leucine-rich repeat extensin-like protein 1
MBW4655423.1,hypothetical protein
WP_125208671.1,DUF2637 domain-containing protein
XP_019635510.1,PREDICTED: serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
EKF34431.1,hypothetical protein BA1_15325
XP_009417953.1,PREDICTED: embryonic protein DC-8-like
KAI1000923.1,hypothetical protein K3495_g7276
WP_165882654.1,tetratricopeptide repeat protein
KAH0544701.1,hypothetical protein FGG08_001206
XP_042924576.1,uncharacterized protein CHLRE_05g231100v5
XP_042924576.1,uncharacterized protein CHLRE_05g231100v5
KGQ02673.1,hypothetical protein BBAD15_g12108
DAO44823.1,TPA: MAG TPA: minor tail protein
XP_003565652.1,embryonic protein DC-8
WP_210405631.1,hypothetical protein
XP_013404125.1,protein phosphatase 1 regulatory subunit 7 isoform X1
RXH98933.1,hypothetical protein DVH24_011258
MBK7591798.1,hypothetical protein
RMG32668.1,HEAT repeat domain-containing protein
KAH7722005.1,late embryogenesis abundant protein
KAH7722005.1,late embryogenesis abundant protein
KAH7722005.1,late embryogenesis abundant protein
HFZ92840.1,hypothetical protein
WP_188273878.1,hypothetical protein
WP_163413453.1,MULTISPECIES: hypothetical protein
WP_163413453.1,MULTISPECIES: hypothetical protein
RUS29097.1,hypothetical protein BC938DRAFT_481069
RLC75455.1,integron integrase
GBF98778.1,hypothetical protein Rsub_11360
MBB14259.1,phytanoyl-CoA dioxygenase
HGW32168.1,hypothetical protein
HGW32168.1,hypothetical protein
WP_048771190.1,hypothetical protein
MBK9370839.1,DUF4157 domain-containing protein
MBO4704586.1,hypothetical protein
MBO4704586.1,hypothetical protein
HAQ52079.1,hypothetical protein
WP_197441585.1,tetratricopeptide repeat protein
WP_019598765.1,MULTISPECIES: phage tail tape measure protein
MBT3455503.1,hypothetical protein
WP_072734376.1,hypothetical protein
CAA2628003.1,unnamed protein product
XP_013112410.1,PREDICTED: histone-lysine N-methyltransferase 2D
XP_013112410.1,PREDICTED: histone-lysine N-methyltransferase 2D
MBR5182452.1,hypothetical protein
MCA9869723.1,YtxH domain-containing protein
XP_017583315.1,PREDICTED: uncharacterized protein LOC108445105 isoform X1
MBR2693117.1,hypothetical protein
RZS22302.1,hypothetical protein BHM03_00055059
XP_029109408.1,uncharacterized protein LOC108937737 isoform X7
XP_029109408.1,uncharacterized protein LOC108937737 isoform X7
MCC8065763.1,phage tail tape measure protein
MBO5969488.1,hypothetical protein
XP_031959219.1,uncharacterized protein LOC116441436
DAI42148.1,TPA: MAG TPA: tail tape measure
CAG9466798.1,unnamed protein product
CAE7168911.1,gcn1
CAE7168911.1,gcn1
WP_014312221.1,hypothetical protein
MAH22132.1,hypothetical protein
WP_157744198.1,hypothetical protein
HCT89827.1,hypothetical protein
KAB8670387.1,hypothetical protein FH972_026300
MBV1893408.1,hypothetical protein
MCD8130470.1,hypothetical protein
CAE7212234.1,PocGH01_11047600
OJD18908.1,hypothetical protein AJ78_01094
MBR5710267.1,ankyrin repeat domain-containing protein
MBR5710267.1,ankyrin repeat domain-containing protein
MBR1852704.1,hypothetical protein
MBO5835943.1,hypothetical protein
MBL4704618.1,AsmA family protein
MCE3008615.1,hypothetical protein
DAH02427.1,TPA: MAG TPA: tail tape measure protein
XP_001840625.1,hypothetical protein CC1G_11273
MBL0697794.1,GTPase ObgE
NJM95867.1,CsbD family protein
VDO91232.1,unnamed protein product
VDO91232.1,unnamed protein product
VDO91232.1,unnamed protein product
KAF5219027.1,hypothetical protein ECC02_008028
WP_033261803.1,EndoU domain-containing protein
WP_033261803.1,EndoU domain-containing protein
MBO7166607.1,DNA recombination protein RmuC
MBQ7420693.1,hypothetical protein
XP_038820680.1,histidine-rich glycoprotein-like
DAV33578.1,TPA: MAG TPA: minor tail protein
WP_192288548.1,hypothetical protein
XP_001024860.2,hypothetical protein TTHERM_00239360
CAH1372538.1,unnamed protein product
CAE1290782.1,unnamed protein product
RZN42950.1,hypothetical protein EFT35_01450
UCH94510.1,MAG: apolipoprotein A1/A4/E family protein
NQU16805.1,PorV/PorQ family protein
XP_045182584.1,uncharacterized protein LOC123541231 isoform X2
MYL56204.1,hypothetical protein
XP_001311716.1,kinetoplast-associated protein
GFO20286.1,hypothetical protein PoB_004679100
CAG5116898.1,unnamed protein product
MBT3378471.1,hypothetical protein
MBB1242913.1,hypothetical protein
MCB1755377.1,hypothetical protein
XP_003344292.1,uncharacterized protein SMAC_06493
WP_165600603.1,hypothetical protein
MTW00047.1,phage tail tape measure protein
MBY0396348.1,hypothetical protein
WP_023790919.1,hypothetical protein
MBO5957549.1,hypothetical protein
MBO5957549.1,hypothetical protein
MBI5303440.1,HEAT repeat domain-containing protein
CAD7937149.1,unnamed protein product
NXR91807.1,ANR29 protein
MBN2918417.1,hypothetical protein
KAE9549793.1,hypothetical protein FO519_007001
OJY60926.1,hypothetical protein BGP16_00875
XP_022222606.2,titin isoform X1
NCO74289.1,hypothetical proteinNCO7770
WP_121549064.1,MULTISPECIES: phage tail tape measure protein
DAV74100.1,TPA: MAG TPA: minor tail protein
XP_042915514.1,uncharacterized protein CHLRE_16g654700v5
XP_042915514.1,uncharacterized protein CHLRE_16g654700v5
OQR78707.1,hypothetical protein BIW11_06231
GBC86985.1,hypothetical protein HRbin12_00985
WP_176636770.1,hypothetical protein
MBI5251287.1,ankyrin repeat domain-containing protein
QQQ01864.1,hypothetical protein JHW41_02420
MBP0979732.1,hypothetical protein
DAQ21932.1,TPA: MAG TPA: minor tail protein
WP_157889777.1,hypothetical protein
CAB4187847.1,hypothetical protein UFOVP1169_15
OGI44090.1,hypothetical protein A2V92_01270
OCF40283.1,hypothetical protein I317_05916
XP_036425679.1,zinc finger CCCH domain-containing protein 13 isoform X1
XP_011401776.1,Lipase
XP_046844445.1,trichohyalin-like
QEQ93887.1,tape measure protein
WP_071900422.1,hypothetical protein
GAV27256.1,hypothetical protein PMKS-000720
ALP53805.1,hypothetical protein Tel_12050
ALP53805.1,hypothetical protein Tel_12050
MBM7800150.1,hypothetical protein
DAH96615.1,TPA: MAG TPA: tail tape measure protein
OTB05681.1,hypothetical protein M426DRAFT_10431
XP_045624363.1,basic salivary proline-rich protein 4-like
WP_240302584.1,hypothetical protein
MCB1172851.1,hypothetical protein
MCB1172851.1,hypothetical protein
WP_076354196.1,MULTISPECIES: phage tail tape measure protein
MBO8458423.1,hypothetical protein
MBO8458423.1,hypothetical protein
CAE1255495.1,unnamed protein product
DAQ48164.1,TPA: MAG TPA: hypothetical protein
WP_126464428.1,SIR2 family protein
WP_126464428.1,SIR2 family protein
WP_006008201.1,hypothetical protein
XP_016050056.1,PREDICTED: proline-rich protein 2-like
KAE8277637.1,hypothetical protein D5F01_LYC24368
WP_189084355.1,DUF1640 domain-containing protein
WP_123973323.1,hypothetical protein
MBR3782684.1,MotA/TolQ/ExbB proton channel family protein
MBF0132850.1,hypothetical protein
WP_049626312.1,phage tail tape measure protein
HEA20969.1,hypothetical protein
XP_036664923.1,uncharacterized protein CPAR2_802980
MBQ8353686.1,hypothetical protein
MBQ8353686.1,hypothetical protein
MBI4704902.1,response regulator
MBI4704902.1,response regulator
WP_116714431.1,hypothetical protein
WP_116714431.1,hypothetical protein
WP_116714431.1,hypothetical protein
DAQ79807.1,TPA: MAG TPA: Minor tail protein
QCP14719.1,hypothetical protein FCL38_15280
POE81071.1,"phytoene synthase, chloroplastic"
DAE55542.1,TPA: MAG TPA: minor tail protein
MCB0993215.1,hypothetical protein
KAG6829110.1,hypothetical protein H0H92_005652
RGP81670.1,hypothetical protein FLONG3_157
MBJ7472458.1,hypothetical protein
XP_031112351.1,extensin isoform X1
XP_031112351.1,extensin isoform X1
HIS32264.1,phage tail tape measure protein
HHM88267.1,hypothetical protein
MAE92970.1,phage tail tape measure protein
MBO7653365.1,DNA recombination protein RmuC
XP_014270880.1,ankyrin repeat and KH domain-containing protein mask isoform X4
WP_184020519.1,YXWGXW repeat-containing protein
WP_179183142.1,FHA domain-containing protein
KAG2221148.1,hypothetical protein INT45_004457
WP_087254708.1,hypothetical protein
KAH7652525.1,elongation factor Ts protein
MAZ48698.1,hypothetical protein
WP_186488661.1,tape measure protein
WP_101533700.1,anti-phage defense ZorAB system protein ZorA
MBV9257926.1,hypothetical protein
CAD6198501.1,unnamed protein product
WP_052172681.1,hypothetical protein
HGO79861.1,hypothetical protein
WP_121553817.1,phage tail length tape measure family protein
WP_053231606.1,hypothetical protein
XP_039909642.1,uncharacterized protein LOC120747687
XP_037090683.1,death-associated protein kinase 1-like
EPY86659.1,ankyrin repeat and protein kinase domain-containing protein 1
KAB5536084.1,armadillo-type protein
WP_061929996.1,hypothetical protein
MBU4190167.1,MSCRAMM family adhesin SdrC
XP_025198870.1,myb-like protein X
WP_187134744.1,phage tail tape measure protein
KAH9628506.1,hypothetical protein HF086_017332
KAH9628506.1,hypothetical protein HF086_017332
VDM62455.1,unnamed protein product
HIM80375.1,hypothetical protein
XP_032885350.1,microtubule-associated tumor suppressor 1
WP_198111019.1,hypothetical protein
MBQ3301221.1,phage tail tape measure protein
KAA8893203.1,hypothetical protein FN846DRAFT_1025848
CAG7832544.1,unnamed protein product
GHA32333.1,cellulose-binding protein
ODM23398.1,hypothetical protein SI65_00987
ODM23398.1,hypothetical protein SI65_00987
KAA6380733.1,hypothetical protein EZS28_023741
MBW2361095.1,hypothetical protein
GFU39756.1,ankyrin repeat and KH domain-containing protein 1
GFU39756.1,ankyrin repeat and KH domain-containing protein 1
XP_045595830.1,formin-2-like
WP_219536574.1,hypothetical protein
WP_219536574.1,hypothetical protein
MBZ5616403.1,hypothetical protein
MBI1329038.1,hypothetical protein
MBT4086598.1,hypothetical protein
MBT4086598.1,hypothetical protein
MBK8095062.1,EF-hand domain-containing protein
XP_001582341.1,hypothetical protein
DAY89890.1,TPA: MAG TPA: tail tape measure
OPZ28699.1,hypothetical protein BWZ02_01224
WP_147565400.1,leucine-rich repeat domain-containing protein
MCB9565058.1,hypothetical protein
KAG8286490.1,hypothetical protein J6590_058993
DAS77776.1,TPA: MAG TPA: minor tail protein
RJL33432.1,helix-turn-helix transcriptional regulator
XP_033742156.1,muscle M-line assembly protein unc-89-like isoform X1
MAS98339.1,phage tail tape measure protein
OFZ81019.1,hypothetical protein A2603_04555
CAG8679547.1,22120_t:CDS:2
DAG51062.1,TPA: MAG TPA: tail tape measure
MBT3982148.1,hypothetical protein
KAH3884958.1,hypothetical protein DPMN_008944
NKB73809.1,hypothetical protein
XP_035371751.1,uncharacterized protein LTHEOB_6784
CAG5135447.1,unnamed protein product
MBX3749768.1,hypothetical protein
ATW89044.1,hypothetical protein halTADL_2297
NBW85555.1,hypothetical protein
OQV09296.1,hypothetical protein CLAIMM_13430 isoform 1
CAB1314347.1,unnamed protein product
WP_179832718.1,RDD family protein
EMT62737.1,Ankyrin repeat domain-containing protein 50
WP_147209904.1,hypothetical protein
XP_044051749.1,protein PBMUCL2-like
VVC25239.1,Hypothetical protein CINCED_3A023250
THV07621.1,hypothetical protein K435DRAFT_788517
HBE80259.1,hypothetical protein
XP_001873338.1,hypothetical protein LACBIDRAFT_291634
GFT77899.1,uncharacterized protein NPIL_294011
WP_016220160.1,tape measure protein
XP_045588186.1,basic proline-rich protein-like
MBR1386298.1,hypothetical protein
YP_009463675.1,hypothetical protein SG3EUKT97585
WP_091086851.1,hypothetical protein
WP_148279447.1,leucine-rich repeat domain-containing protein
VEU34964.1,unnamed protein product
QBZ61712.1,hypothetical protein PoMZ_08668
KAF2905075.1,hypothetical protein ILUMI_01103
NLV72654.1,hypothetical protein
OSX72388.1,hypothetical protein BU14_0442s0022
OSX72388.1,hypothetical protein BU14_0442s0022
TMM11275.1,histone
WP_161009330.1,hypothetical protein
WP_102243170.1,hypothetical protein
WP_102243170.1,hypothetical protein
XP_020601368.1,uncharacterized protein LOC110040477
XP_045991550.1,uncharacterized protein C7974DRAFT_429165
HHT97401.1,hypothetical protein
GBG28928.1,Class E vacuolar protein-sorting machinery protein hse1
XP_031437519.1,ras-associated and pleckstrin homology domains-containing protein 1a isoform X3
WP_222962218.1,collagen-like triple helix repeat-containing protein
WP_222962218.1,collagen-like triple helix repeat-containing protein
DAK59339.1,TPA: MAG TPA: minor tail protein
MBF2015844.1,hypothetical protein
CDQ76616.1,unnamed protein product
XP_018594194.1,rootletin-like
NJR69777.1,apolipoprotein A1/A4/E family protein
AXH73358.1,DNA pilot protein
WP_144945902.1,hypothetical protein
PYU42094.1,hypothetical protein DMG54_17345
PYU42094.1,hypothetical protein DMG54_17345
KAG9329006.1,hypothetical protein JZ751_008460
MBR2367669.1,hypothetical protein
WP_208296757.1,ATP-dependent RNA helicase HrpA
MBR5723495.1,hypothetical protein
GIY38293.1,hypothetical protein CEXT_532511
WP_185270667.1,hypothetical protein
XP_038779014.1,uncharacterized protein FOA43_002804
WP_136592834.1,DUF5667 domain-containing protein
WP_122575367.1,phage tail tape measure protein
WP_189333631.1,hypothetical protein
WP_093829506.1,hypothetical protein
MBX5484446.1,protein kinase
CAE1231580.1,unnamed protein product
WP_057871072.1,hypothetical protein
KAF8510910.1,hypothetical protein JB92DRAFT_2937426
OGO31633.1,hypothetical protein A2Z29_03125
OGO31633.1,hypothetical protein A2Z29_03125
XP_042865749.1,extensin-like
WP_104948324.1,peptidoglycan DD-metalloendopeptidase family protein
OUM67022.1,hypothetical protein PIROE2DRAFT_59015
MBM4432578.1,hypothetical protein
HAY21208.1,hypothetical protein
ROT05322.1,histone
WP_046052606.1,hypothetical protein
PWA55137.1,hypothetical protein CTI12_AA429480
WP_242588464.1,hypothetical protein
WP_062499717.1,hypothetical protein
WP_227814976.1,hypothetical protein
HBQ14507.1,hypothetical protein
WP_143824901.1,hypothetical protein
TMW56835.1,hypothetical protein Poli38472_006845
HHJ36122.1,hypothetical protein
MBW4606357.1,DUF4157 domain-containing protein
MBW4606357.1,DUF4157 domain-containing protein
MBW4606357.1,DUF4157 domain-containing protein
MBN8689956.1,hypothetical protein
GIY35804.1,hypothetical protein CDAR_403991
MYA89392.1,hypothetical protein
XP_018424139.1,PREDICTED: apolipoprotein A-I
WP_010722136.1,peptidoglycan DD-metalloendopeptidase family protein
XP_033733611.1,proline-rich extensin-like protein EPR1
OWF56616.1,hypothetical protein KP79_PYT00038
MBL8602374.1,hypothetical protein
MBX9448187.1,hypothetical protein
MBR1692497.1,hypothetical protein
DAG64738.1,TPA: MAG TPA: tail tape measure protein
WP_195898066.1,hypothetical protein
MBI1735103.1,ankyrin repeat domain-containing protein
WP_093308886.1,hypothetical protein
WP_025782616.1,unnamed protein product
PZN49797.1,hypothetical protein DIU68_19420
MBS4056597.1,AsmA family protein
MBC5999482.1,hypothetical protein
XP_036452863.1,mucin-2-like
XP_045548636.1,formin-2 isoform X2
MBQ9247967.1,hypothetical protein
WP_101485775.1,MULTISPECIES: tape measure protein
WP_101485775.1,MULTISPECIES: tape measure protein
HBP21307.1,AAA family ATPase
KAH6695653.1,hypothetical protein F5X68DRAFT_31285
MBU0528066.1,hypothetical protein
WP_213455523.1,hypothetical protein
XP_032900947.1,basic proline-rich protein-like
WP_062074021.1,hypothetical protein
WP_062074021.1,hypothetical protein
EDO43683.1,predicted protein
WP_229152257.1,hypothetical protein
WP_229152257.1,hypothetical protein
XP_028967920.1,LOW QUALITY PROTEIN: titin homolog
WP_011322084.1,transducer protein
CAB4140974.1,hypothetical protein UFOVP399_48
WP_010249939.1,hypothetical protein
MBQ7307522.1,DNA recombination protein RmuC
WP_241035920.1,hypothetical protein
KAH8800681.1,armadillo-type protein
WP_118855984.1,phasin family protein
MTV51884.1,transcriptional regulator
MBW7885231.1,phasin family protein
KAH8886860.1,hypothetical protein GQ53DRAFT_750516
WP_217701628.1,hypothetical protein
XP_023013573.1,microtubule-associated protein futsch
DAF20386.1,TPA: MAG TPA: hypothetical protein
NOX83030.1,hypothetical protein
GDX79085.1,hypothetical protein LBMAG42_08960
TRY93409.1,hypothetical protein DNTS_014250
TRY93409.1,hypothetical protein DNTS_014250
TRY93409.1,hypothetical protein DNTS_014250
OWK61227.1,"Solute carrier family 2, facilitated glucose transporter member 11"
WP_157769031.1,LysM peptidoglycan-binding domain-containing protein
KAI0558160.1,hypothetical protein FGB62_230g02
MCA1646563.1,hypothetical protein
CAE1312577.1,PRPF40
CAB3406757.1,unnamed protein product
QHO20890.1,Late embryogenesis abundant protein
HEU31594.1,hypothetical protein
GAK53042.1,hypothetical protein U14_04301
XP_044538592.1,LON peptidase N-terminal domain and RING finger protein 3
XP_044538592.1,LON peptidase N-terminal domain and RING finger protein 3
MBF9036448.1,cell envelope biogenesis protein TolA
EFX67226.1,hypothetical protein DAPPUDRAFT_331284
WP_146190596.1,hypothetical protein
SHT52746.1,Uncharacterised protein
MBI5208449.1,hypothetical protein
CAN68789.1,hypothetical protein VITISV_005193
SCE97130.1,hypothetical protein GA0070216_103441
GID58295.1,hypothetical protein Aco03nite_066990
GAU92226.1,hypothetical protein RvY_04336
MBR3478262.1,hypothetical protein
MBQ7047700.1,hypothetical protein
DAT78171.1,TPA: MAG TPA: minor tail protein
DAT78171.1,TPA: MAG TPA: minor tail protein
XP_037050995.1,uncharacterized protein LOC119084954
WP_025041029.1,hypothetical protein
KAE8292587.1,hypothetical protein D5F01_LYC09959
MBI2708247.1,hypothetical protein
HGH74895.1,hypothetical protein
KAI1338854.1,hypothetical protein F5Y15DRAFT_99978
WP_190489012.1,hypothetical protein
WP_095803098.1,tape measure protein
KAF7343435.1,hypothetical protein
WP_121971733.1,hypothetical protein
XP_013404543.1,plectin isoform X2
MBD0273126.1,hypothetical protein
XP_014764055.1,serine/arginine repetitive matrix protein 1
WP_132282250.1,stalk domain-containing protein
WP_232297369.1,phage tail tape measure protein
KAI0686106.1,hypothetical protein BC835DRAFT_474448
MBY0515868.1,hypothetical protein
XP_030641459.1,mediator of DNA damage checkpoint protein 1
KAF9598524.1,hypothetical protein IFM89_028056
MCB1324165.1,hypothetical protein
DAL90266.1,TPA: MAG TPA: minor tail protein
KFZ32530.1,hypothetical protein JS44_03610
KAG8636634.1,hypothetical protein MANES_15G017800v8
RCI17258.1,hypothetical protein L249_2855
CAE1260823.1,unnamed protein product
XP_035477545.1,oocyte zinc finger protein XlCOF6-like
NOR81450.1,hypothetical protein
MBC6134328.1,tail tape measure protein
EHM02791.1,hypothetical protein HMPREF9946_00865
XP_020620836.1,uncharacterized protein LOC110058520 isoform X2
GFQ71560.1,hypothetical protein TNCT_655811
WP_119571409.1,hypothetical protein
XP_025367398.1,hypothetical protein IE81DRAFT_342839
MBN8564865.1,hypothetical protein
EWS79271.1,RTX toxin Ca2+-binding protein
WP_198370325.1,hypothetical protein
MBO4393764.1,hypothetical protein
MBN1812487.1,HEAT repeat domain-containing protein
XP_035240611.1,uncharacterized protein LOC118209430 isoform X5
MBQ1294859.1,hypothetical protein
MBQ1294859.1,hypothetical protein
NUP47555.1,phage tail tape measure protein
PVU85008.1,hypothetical protein BB559_007254
TMQ06117.1,OmpH family outer membrane protein
WP_096565135.1,hypothetical protein
XP_003286983.1,hypothetical protein DICPUDRAFT_91824
WP_189355697.1,hypothetical protein
XP_039257196.1,laminin subunit alpha-1-like isoform X3
XP_020257642.1,fibrous sheath CABYR-binding protein-like
QIX00529.1,hypothetical protein AMS68_006046
TKR61366.1,hypothetical protein L596_028484
NUP48908.1,hypothetical protein
KAF4678600.1,hypothetical protein FOZ60_016363
XP_043235747.1,adhesive plaque matrix protein-like
MBS2019010.1,response regulator
WP_160854142.1,hypothetical protein
WP_012811895.1,Asp23/Gls24 family envelope stress response protein
WP_219637906.1,hypothetical protein
MCD9639947.1,hypothetical protein
WP_025487464.1,phasin family protein
HHY28456.1,hypothetical protein
SDS12314.1,hypothetical protein SAMN04489812_0951
WP_147057722.1,tape measure protein
WP_147057722.1,tape measure protein
XP_013468560.1,flowering locus K homology domain isoform X2
KAH8075128.1,hypothetical protein JL721_1122
KAH8075128.1,hypothetical protein JL721_1122
MBP52662.1,hypothetical protein
HIZ70368.1,YtxH domain-containing protein
MBL6857734.1,DEAD/DEAH box helicase
NCA77110.1,hypothetical protein
MBR3066427.1,hypothetical protein
MBK7749387.1,hypothetical protein
XP_039396796.1,protein FAM184B isoform X2
MBR2667409.1,hypothetical protein
WP_131285110.1,hypothetical protein
CAE7223238.1,ANKHD1
ROT66403.1,DNA-binding protein
XP_039267436.1,uncharacterized protein LOC120342595 isoform X1
MBI5271682.1,hypothetical protein
OGL14848.1,hypothetical protein A3K12_04455
XP_013978942.1,torsin-1A-interacting protein 2-like
EDO54015.1,hypothetical protein BACUNI_02636
MBQ9050560.1,phage tail tape measure protein
WP_144544899.1,hypothetical protein
CAD7576298.1,unnamed protein product
RQD69691.1,YtxH domain-containing protein
WP_174351318.1,hypothetical protein
HEB89027.1,hypothetical protein
GAW01373.1,hypothetical protein LENED_002964
CAF1254506.1,unnamed protein product
HGO19078.1,hypothetical protein
MBP9835893.1,hypothetical protein
MBI5508446.1,ankyrin repeat domain-containing protein
KAG7820675.1,hypothetical protein KL909_004547
KAG7820675.1,hypothetical protein KL909_004547
KAG7820675.1,hypothetical protein KL909_004547
MBW1806898.1,hypothetical protein
XP_028178621.1,uncharacterized protein LOC114366055
SGZ57933.1,CIC11C00000005383
WP_152810892.1,tape measure protein
CAE1232784.1,unnamed protein product
WP_154648395.1,hypothetical protein
MCB9387688.1,DivIVA domain-containing protein
WP_121176776.1,hypothetical protein
WP_121176776.1,hypothetical protein
MBL9100540.1,protein kinase
KAF6260062.1,hypothetical protein COO60DRAFT_930444
CAE7247131.1,fba
WP_069583108.1,MULTISPECIES: hypothetical protein
MBL0322536.1,hypothetical protein
KAF0302730.1,ADP-ribosylation factor-like protein 13B
WP_139183714.1,MotA/TolQ/ExbB proton channel family protein
ODA81386.1,hypothetical protein RJ55_04351
WP_025321051.1,hypothetical protein
MBR0427006.1,hypothetical protein
WP_163197889.1,hypothetical protein
WP_163197889.1,hypothetical protein
MBP5490405.1,hypothetical protein
NNJ10609.1,hypothetical protein
MBR5074522.1,hypothetical protein
ROI84236.1,hypothetical protein DPX16_20008
MBN2628716.1,hypothetical protein
MBN2628716.1,hypothetical protein
MBD5128438.1,hypothetical protein
MBD5128438.1,hypothetical protein
MBD5128438.1,hypothetical protein
XP_017598425.1,PREDICTED: fibroin heavy chain-like
MBK9580222.1,hypothetical protein
XP_045151286.1,major prion protein
ORX65502.1,hypothetical protein K493DRAFT_309429
WP_202914484.1,hypothetical protein
DAP93870.1,TPA: MAG TPA: tail tape measure protein
DAP93870.1,TPA: MAG TPA: tail tape measure protein
XP_030193481.1,uncharacterized protein LOC115529131 isoform X2
XP_030193481.1,uncharacterized protein LOC115529131 isoform X2
WP_074717075.1,hypothetical protein
PIE72879.1,hypothetical protein CSA20_05260
HFJ45639.1,hypothetical protein
WP_006555259.1,KH domain-containing protein
RZJ02790.1,DUF883 family protein
XP_029599313.1,uncharacterized protein LOC115181560
MBF1524199.1,hypothetical protein
WP_176108747.1,FUSC family protein
KAG7005779.1,hypothetical protein G7Y79_00018g045860
HGM55648.1,hypothetical protein
AET14650.1,GvpC2
MBF0182569.1,hypothetical protein
WP_184075506.1,phage tail tape measure protein
WP_184075506.1,phage tail tape measure protein
CDJ52557.1,hypothetical protein EBH_0004320
HAM02147.1,hypothetical protein
WP_051233213.1,DivIVA domain-containing protein
MQG00267.1,VWA domain-containing protein
MBQ8468942.1,DNA recombination protein RmuC
WP_126380952.1,FecR domain-containing protein
GAQ72486.1,putative oxidoreductase YdgJ
WP_102266964.1,phage tail tape measure protein
CAE1331752.1,unnamed protein product
MBS5789151.1,hypothetical protein
WP_098678937.1,insecticidal delta-endotoxin Cry8Ea1 family protein
OQV12818.1,hypothetical protein BV898_12947
KPK40898.1,hypothetical protein AMJ69_00590
WP_035516161.1,hypothetical protein
WP_136206293.1,winged helix-turn-helix domain-containing protein
DAF36808.1,TPA: MAG TPA: minor tail protein
HIU45798.1,phage tail tape measure protein
GFO21415.1,hypothetical protein PoB_004792000
PLX46840.1,hypothetical protein C0613_15620
PSC74633.1,serine threonine-kinase
MBE1307388.1,hypothetical protein
MBE1307388.1,hypothetical protein
NCO51943.1,hypothetical protein
TCD67804.1,hypothetical protein EIP91_011932
TCD67804.1,hypothetical protein EIP91_011932
OCK45291.1,hypothetical protein BA766_19225
MBQ4635309.1,ankyrin repeat domain-containing protein
PSN56582.1,hypothetical protein C0J52_01550
XP_025345333.1,hypothetical protein BCV69DRAFT_285474
MBX9581406.1,HEAT repeat domain-containing protein
MBO7449021.1,hypothetical protein
WP_017716609.1,hypothetical protein
GIL61654.1,hypothetical protein Vafri_16053
MBI3403653.1,PilZ domain-containing protein
MBR50913.1,hypothetical protein
EXH90898.1,putative membrane protein
CAB1319272.1,unnamed protein product
XP_017246961.1,PREDICTED: uncharacterized protein LOC108218503
MCA9478667.1,hypothetical protein
MBP3577709.1,hypothetical protein
MBP3577709.1,hypothetical protein
KAE8249628.1,hypothetical protein A4X13_0g5136
XP_003625421.1,nuclear pore complex protein Nup58
XP_043018122.1,uncharacterized protein INS49_004619
XP_026190723.1,proline-rich protein 36-like
CAG4717877.1,unnamed protein product
CAG4717877.1,unnamed protein product
XP_014169606.1,histone deacetylase complex subunit
MCE2399408.1,hypothetical protein
MBF1201121.1,hypothetical protein
